Weight;Surfaces;Repeats;day_0;day_1;day_2;day_3;day_4;day_5;day_6;day_7;day_8;day_9;day_10;day_11;day_12;day_13;day_14;day_15;day_16;day_17;day_18;day_19;day_20;day_21;day_22;day_23;day_24
0;0;0;4.7;1.9;1.8;1.8;1.8;1.8;1.8;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8
0;0;1;2.7;1.1;1.1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
